id_veiculo,linha,latitude,longitude,timestamp_gps,velocidade,sentido,vista,placa,direcao,ignicao,hodometro,capacidade_pe,capacidade_sentado,id_migracao_trajeto,timestamp_captura
901008,52,-22.883885,-43.399661,2025-10-28 09:47:45-03:00,0.0,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],,145,0,214960.9,0,0,9162,2025-10-28 10:17:03.729613
901011,22,-23.003216,-43.324109,2025-10-28 10:16:49-03:00,0.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],RIV8A74,228,1,229165.2,0,0,8971,2025-10-28 10:17:03.729613
901018,22,-23.000927,-43.365125,2025-10-28 09:32:07-03:00,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],, ,0,189967.4,0,0,8970,2025-10-28 10:17:03.729613
901012,22,-23.000908,-43.365427,2025-10-28 10:11:42-03:00,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],,269,1,184698.2,0,0,8970,2025-10-28 10:17:03.729613
901014,22,-23.00003,-43.347251,2025-10-28 10:16:57-03:00,27.0,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],,272,1,228230.2,0,0,8971,2025-10-28 10:17:03.729613
901007,0,-22.75162,-43.286805,2025-10-26 17:03:52-03:00,0.0,,,, ,0,211230.6,0,0,,2025-10-28 10:17:03.729613
901009,35,-22.999263,-43.368485,2025-10-28 10:16:51-03:00,54.5,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,227,1,182703.6,0,0,108,2025-10-28 10:17:03.729613
901013,22,-23.000171,-43.343391,2025-10-28 10:16:15-03:00,39.6,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],,271,1,218347.7,0,0,8971,2025-10-28 10:17:03.729613
901010,22,-23.00086,-43.366726,2025-10-28 10:11:24-03:00,20.9,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],RJM8G30,44,1,229947.5,0,0,8970,2025-10-28 10:17:03.729613
901015,35,-22.93542,-43.371873,2025-10-28 10:16:43-03:00,3.9,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,153,1,232361.0,0,0,108,2025-10-28 10:17:03.729613
901047,53,-22.973302,-43.377145,2025-10-28 10:16:41-03:00,47.9,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],,267,1,107739.3,0,0,8967,2025-10-28 10:17:03.729613
901017,53,-22.887356,-43.401004,2025-10-28 10:16:59-03:00,36.7,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],,186,1,193723.4,0,0,8966,2025-10-28 10:17:03.729613
901063,51,-23.008345,-43.440654,2025-10-28 10:13:42-03:00,0.0,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],, ,0,291482.3,0,0,3551,2025-10-28 10:17:03.729613
902319,60,-22.815133,-43.291594,2025-10-28 10:16:32-03:00,30.0,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],,105,1,33539.1,0,0,9306,2025-10-28 10:17:03.729613
901006,22,-22.999854,-43.360617,2025-10-28 10:16:48-03:00,48.6,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],RJA9F56,270,1,219783.4,0,0,8971,2025-10-28 10:17:03.729613
901005,51,-22.853652,-43.385142,2025-10-28 10:16:55-03:00,22.6,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],RJB8E53,309,1,12560.5,0,0,3552,2025-10-28 10:17:03.729613
901004,53,-22.970232,-43.400191,2025-10-28 10:16:38-03:00,10.1,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],RJQ8J80,41,1,253861.8,0,0,8967,2025-10-28 10:17:03.729613
902095,40,-23.000938,-43.367098,2025-10-28 09:30:43-03:00,0.0,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],, ,0,122996.9,0,0,8973,2025-10-28 10:17:03.729613
902375,60,-22.848169,-43.3965,2025-10-28 10:00:04-03:00,0.0,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],,89,0,66783.899,0,0,9306,2025-10-28 10:17:03.729613
KXM6403 SAVEIRO,11,-22.965637,-43.647337,2025-10-28 10:01:01-03:00,0.0,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],KXM6403,266,0,24746.9,0,0,104,2025-10-28 10:17:03.729613
902090,46,-22.953873,-43.375763,2025-10-28 10:16:53-03:00,59.0,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],,35,1,129331.7,0,0,145,2025-10-28 10:17:03.729613
KRA7040 - GOL,0,-23.001054,-43.363817,2025-10-28 09:17:40-03:00,0.0,,,KRA7040, ,0,58574.8,0,0,,2025-10-28 10:17:03.729613
902334,60,-22.82255,-43.327284,2025-10-28 10:16:58-03:00,57.8,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],,251,1,29960.3,0,0,9307,2025-10-28 10:17:03.729613
LSG7008 ACELLO INFRA,0,-22.96469,-43.391565,2025-10-28 10:00:50-03:00,0.0,,,LSG7008, ,0,51915.5,0,0,,2025-10-28 10:17:03.729613
KXE9191 PKP,0,-22.957155,-43.390552,2025-10-28 10:14:06-03:00,0.0,,,KXE9191,299,0,19408.4,0,0,,2025-10-28 10:17:03.729613
901057,52,-22.964532,-43.392128,2025-10-28 09:54:09-03:00,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],,294,0,273052.5,0,0,9161,2025-10-28 10:17:03.729613
901003,0,-22.964618,-43.391762,2025-10-28 09:32:33-03:00,0.0,,,RKM8C54, ,0,211536.6,0,0,,2025-10-28 10:17:03.729613
902455,80,-22.843565,-43.269551,2025-10-28 10:16:41-03:00,41.8,volta,80 - TIG X PENHA (PARADOR) [VOLTA],,312,1,127599.2,0,0,8936,2025-10-28 10:17:03.729613
KWB9798 - APOIO VAN,0,-22.964181,-43.391737,2025-10-24 21:42:40-03:00,0.0,,,KWB9798, ,0,17116.6,0,0,,2025-10-28 10:17:03.729613
901002,51,-22.924941,-43.397666,2025-10-28 10:12:01-03:00,59.5,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],,156,1,203318.6,0,0,3552,2025-10-28 10:17:03.729613
902313,52,-22.849195,-43.397433,2025-10-28 09:51:27-03:00,0.0,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],,104,0,29705.7,0,0,9161,2025-10-28 10:17:03.729613
902103,41,-22.876851,-43.330024,2025-10-28 09:16:41-03:00,0.0,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],, ,0,135046.8,0,0,3542,2025-10-28 10:17:03.729613
901001,22,-23.001015,-43.365441,2025-10-28 10:16:15-03:00,0.0,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],RJD7J89,268,1,215556.6,0,0,8970,2025-10-28 10:17:03.729613
901050,35,-22.964497,-43.392075,2025-10-28 09:55:43-03:00,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],,342,0,20511.8,0,0,108,2025-10-28 10:17:03.729613
901077,53,-22.964768,-43.392249,2025-10-28 08:47:07-03:00,0.0,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],,349,0,208960.5,0,0,8966,2025-10-28 10:17:03.729613
903045,17,-22.915734,-43.628604,2025-10-28 10:16:37-03:00,0.0,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],,260,1,13586.9,0,0,10580,2025-10-28 10:17:03.729613
